Ref_Ticket,Date,Heure,Type,Titre,Description,Status,Priority,Items
96,16/05/2026,08:41,Demande,Migration poste — ancien vers nouveau PC,"Le poste PC-ADM-004 est remplacé. Besoin de migration des données utilisateur (profil, favoris, documents) vers le nouveau matériel. À planifier hors heures de bureau.",Closed,High,"[""PC-ADMI-002"", ""MN-SECR-001"", ""PC-LOGI-005""]"
97,17/02/2026,10:21,Demande,Création compte Active Directory,Nouveau stagiaire — Andriamanga Rivo — arrive le 10/06 pour 3 mois. Besoin d'un compte AD avec accès aux partages RH et à l'imprimante du service.,Closed,Medium,"[""PC-SALL-002"", ""PC-SALL-001""]"
98,21/01/2026,11:54,Demande,Renouvellement certificat SSL — serveur web,Le certificat SSL du serveur intranet expire dans 12 jours. Renouvellement à effectuer pour éviter les alertes navigateur. Certbot ou renouvellement manuel à confirmer.,New,High,"[""SW-MARK-003""]"
99,29/03/2026,16:08,Incident,Laptop — chargeur qui chauffe anormalement,Le bloc d'alimentation du laptop chauffe fortement (trop chaud pour être tenu en main). Risque d'incendie. Chargeur à remplacer en urgence et poste à ne pas utiliser en attendant.,Closed,Medium,"[""PC-SALL-004"", ""PH-DSI-001""]"
100,13/02/2026,18:28,Incident,Surchauffe critique — arrêt automatique,"Le poste s'éteint brutalement après 10-15 minutes d'utilisation. La température CPU atteint 95°C selon HWMonitor. Ventilateur bruyant, probable encrassement.",Closed,Medium,"[""MN-DIRE-003"", ""SW-SALL-001""]"
101,15/03/2026,18:50,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,In Progress,High,"[""PC-LOGI-005"", ""MN-SALL-002""]"
102,20/02/2026,12:43,Incident,Batterie laptop — autonomie < 30 min,La batterie du laptop ne tient plus que 25 minutes alors qu'elle était à 3h il y a 6 mois. Cycle count : 842. Remplacement nécessaire — référence à commander.,Closed,High,"[""MOB-BIBL-001"", ""MN-COMP-002"", ""PR-BIBL-001""]"
103,17/05/2026,13:10,Demande,Mise à jour firmware switch Cisco,Bulletin de sécurité Cisco CVE-2026-1234 affectant les Catalyst 2960-X. Mise à jour IOS 15.2(7)E8 à déployer sur les 2 switches en salle serveur. Intervention en dehors des heures de production.,In Progress,High,"[""PC-ACCU-009"", ""PC-SALL-001""]"
104,05/05/2026,12:35,Demande,Remplacement écran cassé,"Suite à une chute, l'écran du laptop LT-DIR-002 est fissuré et illisible. Remplacement dalle sous garantie à vérifier, sinon devis prestataire externe.",New,Critical,"[""PC-LOGI-004""]"
105,23/01/2026,09:17,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,Pending,Medium,"[""PC-MAGA-002"", ""PC-BIBL-005"", ""MN-ACCU-004"", ""MN-ACCU-002""]"
106,08/01/2026,13:03,Incident,Moniteur — bandes verticales colorées,Des bandes verticales vertes et rouges apparaissent sur le tiers droit de l'écran. Problème identique avec un autre câble et un autre poste source — défaut dalle.,Pending,Medium,"[""MN-SALL-003"", ""PC-ACCU-004""]"
107,07/04/2026,10:01,Incident,Imprimante hors ligne — file d'attente bloquée,L'imprimante du service comptabilité apparaît hors ligne sur tous les postes. La file d'impression est bloquée avec 17 documents en attente. Redémarrage du spooler inefficace.,New,Critical,"[""PC-SALL-003"", ""PC-SALL-002"", ""PC-SECR-001""]"
108,16/03/2026,14:44,Demande,Mise à jour firmware switch Cisco,Bulletin de sécurité Cisco CVE-2026-1234 affectant les Catalyst 2960-X. Mise à jour IOS 15.2(7)E8 à déployer sur les 2 switches en salle serveur. Intervention en dehors des heures de production.,In Progress,Critical,"[""MN-SALL-003"", ""SW-SALL-002"", ""PC-DIRE-001"", ""PC-ACCU-004""]"
109,06/01/2026,11:13,Demande,Mise à jour firmware switch Cisco,Bulletin de sécurité Cisco CVE-2026-1234 affectant les Catalyst 2960-X. Mise à jour IOS 15.2(7)E8 à déployer sur les 2 switches en salle serveur. Intervention en dehors des heures de production.,In Progress,High,"[""PC-COMP-002"", ""MOB-MARK-002"", ""PC-MAGA-005"", ""PC-ADMI-003""]"
110,20/03/2026,08:03,Incident,Clavier — touches mortes aléatoires,"Plusieurs touches (E, R, T, espace) ne répondent plus de façon intermittente. Le clavier fonctionne normalement sur un autre poste. Probable défaillance du contrôleur interne.",Closed,Critical,"[""PC-SALL-003"", ""PC-COMP-002"", ""PR-LOGI-001"", ""SW-LABO-001""]"
111,19/05/2026,07:40,Incident,VoIP — qualité audio dégradée,Les appels internes présentent des coupures et de l'écho depuis ce matin. Problème signalé sur 3 téléphones IP du secrétariat. QoS à vérifier sur le switch d'accès.,Pending,Medium,"[""PC-SALL-002"", ""MN-SECR-002""]"
112,02/01/2026,16:22,Incident,Clavier — touches mortes aléatoires,"Plusieurs touches (E, R, T, espace) ne répondent plus de façon intermittente. Le clavier fonctionne normalement sur un autre poste. Probable défaillance du contrôleur interne.",Pending,High,"[""PH-SALL-001"", ""PH-JURI-001""]"
113,23/01/2026,15:23,Incident,BSOD MEMORY_MANAGEMENT répété,"Écrans bleus MEMORY_MANAGEMENT survenus 3 fois aujourd'hui. Dump analysé, erreurs sur le slot RAM 2. L'utilisateur ne peut plus travailler.",Pending,High,"[""MN-SALL-002""]"
114,02/05/2026,07:40,Incident,Moniteur — bandes verticales colorées,Des bandes verticales vertes et rouges apparaissent sur le tiers droit de l'écran. Problème identique avec un autre câble et un autre poste source — défaut dalle.,Resolved,Medium,"[""MN-SALL-002""]"
115,19/01/2026,12:15,Demande,Déploiement VPN pour télétravail,"Suite à la politique de télétravail adoptée, 12 collaborateurs ont besoin d'un accès VPN. Configuration OpenVPN ou FortiClient à déployer selon la politique de sécurité.",New,High,"[""PC-JURI-003"", ""PC-JURI-001"", ""MN-SALL-001""]"
116,21/05/2026,12:52,Demande,Installation et configuration de Microsoft 365,"Nouvel arrivant au service Marketing. Besoin d'installation de Microsoft 365 (Word, Excel, Outlook, Teams) et configuration du compte email @itu.mg. Arrivée prévue lundi 09/06.",In Progress,Critical,"[""PH-ADMI-002"", ""MN-DSI-001"", ""SW-SALL-003"", ""PC-SALL-004""]"
117,05/02/2026,08:45,Demande,Création compte Active Directory,Nouveau stagiaire — Andriamanga Rivo — arrive le 10/06 pour 3 mois. Besoin d'un compte AD avec accès aux partages RH et à l'imprimante du service.,Closed,Low,"[""PC-DIRE-003"", ""PC-JURI-001"", ""PC-SALL-002""]"
118,23/03/2026,11:32,Incident,Moniteur — bandes verticales colorées,Des bandes verticales vertes et rouges apparaissent sur le tiers droit de l'écran. Problème identique avec un autre câble et un autre poste source — défaut dalle.,Pending,High,"[""PC-SECR-001"", ""MOB-DSI-001"", ""SW-MARK-001""]"
119,19/02/2026,11:22,Demande,Configuration sauvegarde automatique,Le service comptabilité demande la mise en place d'une sauvegarde automatique quotidienne vers le NAS. Veeam ou robocopy selon les ressources disponibles.,New,Critical,"[""PC-LABO-006"", ""PC-LOGI-001"", ""MN-SALL-001""]"
120,23/04/2026,13:47,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,Closed,Medium,"[""PR-LOGI-001"", ""PH-DSI-001""]"
121,09/05/2026,12:59,Demande,Renouvellement certificat SSL — serveur web,Le certificat SSL du serveur intranet expire dans 12 jours. Renouvellement à effectuer pour éviter les alertes navigateur. Certbot ou renouvellement manuel à confirmer.,Pending,Medium,"[""PH-SALL-002""]"
122,20/04/2026,08:27,Incident,Laptop — chargeur qui chauffe anormalement,Le bloc d'alimentation du laptop chauffe fortement (trop chaud pour être tenu en main). Risque d'incendie. Chargeur à remplacer en urgence et poste à ne pas utiliser en attendant.,In Progress,High,"[""MN-SALL-001"", ""PC-MARK-002"", ""PC-ACCU-004""]"
123,26/03/2026,17:18,Incident,Port USB 3.0 non reconnu,Les périphériques branchés sur le port USB frontal ne sont pas détectés. Les ports arrière fonctionnent. Vérification du connecteur interne de la carte mère à prévoir.,Closed,High,"[""PC-DSI-001"", ""PH-MARK-001"", ""MN-DIRE-003"", ""MN-ACCU-002""]"
124,26/04/2026,07:46,Demande,Configuration sauvegarde automatique,Le service comptabilité demande la mise en place d'une sauvegarde automatique quotidienne vers le NAS. Veeam ou robocopy selon les ressources disponibles.,Resolved,High,"[""PC-BIBL-006"", ""SW-COMP-002"", ""PC-SALL-001"", ""PC-SALL-003""]"
125,15/04/2026,12:32,Demande,Renouvellement certificat SSL — serveur web,Le certificat SSL du serveur intranet expire dans 12 jours. Renouvellement à effectuer pour éviter les alertes navigateur. Certbot ou renouvellement manuel à confirmer.,In Progress,Low,"[""SW-SALL-001"", ""PH-SALL-001""]"
126,24/04/2026,07:08,Incident,BSOD MEMORY_MANAGEMENT répété,"Écrans bleus MEMORY_MANAGEMENT survenus 3 fois aujourd'hui. Dump analysé, erreurs sur le slot RAM 2. L'utilisateur ne peut plus travailler.",In Progress,Critical,"[""MN-SECR-001"", ""MN-SALL-003"", ""SW-DSI-001""]"
127,10/01/2026,16:09,Demande,Migration poste — ancien vers nouveau PC,"Le poste PC-ADM-004 est remplacé. Besoin de migration des données utilisateur (profil, favoris, documents) vers le nouveau matériel. À planifier hors heures de bureau.",Closed,Medium,"[""MN-DIRE-003"", ""MOB-MARK-001"", ""PC-SALL-003""]"
128,28/05/2026,09:33,Incident,Bourrage papier répété — imprimante Canon,"Bourrages papier fréquents (3 fois par jour) sur le bac 2. Rouleaux d'entraînement probablement usés. Utilisation de papier 80g/m² standard, pas de papier épais.",Closed,Medium,"[""PC-JURI-006"", ""PC-SALL-001"", ""PC-SALL-001""]"
129,18/02/2026,14:33,Incident,Moniteur — bandes verticales colorées,Des bandes verticales vertes et rouges apparaissent sur le tiers droit de l'écran. Problème identique avec un autre câble et un autre poste source — défaut dalle.,Pending,Low,"[""MOB-MARK-002"", ""PC-ACCU-010"", ""PH-ACCU-001""]"
130,26/04/2026,10:39,Incident,Port USB 3.0 non reconnu,Les périphériques branchés sur le port USB frontal ne sont pas détectés. Les ports arrière fonctionnent. Vérification du connecteur interne de la carte mère à prévoir.,Closed,Medium,"[""PC-JURI-003""]"
131,20/01/2026,14:11,Demande,Installation imprimante réseau — nouveau service,Le service Juridique vient d'emménager en salle 401. Besoin d'ajout de l'imprimante PR-SALA-001 sur les 4 postes du service et configuration du driver HP.,Closed,Low,"[""PH-SALL-001"", ""MN-DIRE-001"", ""PH-ACCU-002""]"
132,18/01/2026,15:34,Incident,Port USB 3.0 non reconnu,Les périphériques branchés sur le port USB frontal ne sont pas détectés. Les ports arrière fonctionnent. Vérification du connecteur interne de la carte mère à prévoir.,Resolved,Medium,"[""MN-SECR-001"", ""PR-JURI-001""]"
133,28/02/2026,08:12,Demande,Renouvellement certificat SSL — serveur web,Le certificat SSL du serveur intranet expire dans 12 jours. Renouvellement à effectuer pour éviter les alertes navigateur. Certbot ou renouvellement manuel à confirmer.,In Progress,Medium,"[""PC-SALL-001"", ""MN-SECR-001"", ""PR-RH-002"", ""SW-RH-001""]"
134,06/04/2026,14:51,Incident,Téléphone IP — ne prend pas de ligne,"Le téléphone Cisco 8851 du directeur ne présente aucune ligne enregistrée après un redémarrage. Serveur CUCM à vérifier, extension 1001 potentiellement non provisionnée.",In Progress,High,"[""PC-SALL-003""]"
135,22/03/2026,13:45,Demande,Déploiement VPN pour télétravail,"Suite à la politique de télétravail adoptée, 12 collaborateurs ont besoin d'un accès VPN. Configuration OpenVPN ou FortiClient à déployer selon la politique de sécurité.",Closed,High,"[""MOB-SALL-001"", ""MN-SALL-002"", ""SW-DIRE-001"", ""PC-LABO-001""]"
136,03/02/2026,12:41,Incident,BSOD MEMORY_MANAGEMENT répété,"Écrans bleus MEMORY_MANAGEMENT survenus 3 fois aujourd'hui. Dump analysé, erreurs sur le slot RAM 2. L'utilisateur ne peut plus travailler.",Closed,High,"[""PC-BIBL-002"", ""MOB-BIBL-001"", ""PR-RH-002""]"
137,01/06/2026,09:49,Incident,PC redémarre en boucle après mise à jour,"Suite à la mise à jour KB5025221 déployée cette nuit, plusieurs postes redémarrent en boucle sans atteindre le bureau. Rollback à planifier.",Closed,High,"[""PC-LOGI-001""]"
138,14/05/2026,09:19,Incident,Lenteur extrême — CPU à 100%,"Le poste est inutilisable, gestionnaire de tâches indique CPU à 100% en permanence. Processus svchost.exe suspect. Scan antivirus lancé, aucun résultat. Vérifier les services Windows.",In Progress,Medium,"[""MN-DIRE-001"", ""PR-JURI-002""]"
139,15/03/2026,08:16,Incident,Infection malware — comportement anormal,L'antivirus (Sophos) a bloqué une menace de type Trojan.GenericKD. Des pop-ups apparaissent et le navigateur est redirigé. Poste à isoler du réseau immédiatement.,Pending,Medium,"[""SW-SALL-001"", ""PC-SECR-004""]"
140,18/05/2026,08:32,Demande,Installation et configuration de Microsoft 365,"Nouvel arrivant au service Marketing. Besoin d'installation de Microsoft 365 (Word, Excel, Outlook, Teams) et configuration du compte email @itu.mg. Arrivée prévue lundi 09/06.",In Progress,High,"[""PC-MARK-003"", ""SW-SALL-001""]"
141,05/06/2026,12:53,Demande,Remplacement écran cassé,"Suite à une chute, l'écran du laptop LT-DIR-002 est fissuré et illisible. Remplacement dalle sous garantie à vérifier, sinon devis prestataire externe.",Pending,Low,"[""PC-ACCU-004""]"
142,13/01/2026,17:49,Incident,Batterie laptop — autonomie < 30 min,La batterie du laptop ne tient plus que 25 minutes alors qu'elle était à 3h il y a 6 mois. Cycle count : 842. Remplacement nécessaire — référence à commander.,Resolved,Critical,"[""MOB-SALL-001"", ""SW-RH-001""]"
143,18/04/2026,16:40,Incident,Écran noir au démarrage,"L'utilisateur signale que son écran reste noir après allumage du poste. Le voyant d'alimentation est actif mais aucune image n'apparaît. Testé avec un autre câble DisplayPort, problème persistant.",Closed,Critical,"[""SW-SECR-003"", ""PC-SECR-004"", ""MN-MARK-003""]"
144,05/03/2026,17:25,Incident,Port USB 3.0 non reconnu,Les périphériques branchés sur le port USB frontal ne sont pas détectés. Les ports arrière fonctionnent. Vérification du connecteur interne de la carte mère à prévoir.,Closed,Low,"[""PC-LABO-003""]"
145,24/04/2026,13:30,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,In Progress,Medium,"[""MN-BIBL-001"", ""PH-SALL-001""]"
146,24/03/2026,18:55,Incident,Bourrage papier répété — imprimante Canon,"Bourrages papier fréquents (3 fois par jour) sur le bac 2. Rouleaux d'entraînement probablement usés. Utilisation de papier 80g/m² standard, pas de papier épais.",Closed,Medium,"[""PR-ACCU-001"", ""PR-ACCU-004"", ""PC-DIRE-002""]"
147,24/03/2026,10:29,Incident,Disque dur défaillant — erreurs S.M.A.R.T.,CrystalDiskInfo remonte des secteurs réalloués et des erreurs de lecture. Risque de perte de données imminent. Sauvegarde à vérifier avant intervention.,Resolved,High,"[""PC-LOGI-002"", ""PC-JURI-002""]"
148,14/01/2026,11:24,Demande,Configuration sauvegarde automatique,Le service comptabilité demande la mise en place d'une sauvegarde automatique quotidienne vers le NAS. Veeam ou robocopy selon les ressources disponibles.,Pending,High,"[""PC-LABO-003"", ""MN-SALL-001""]"
149,29/05/2026,18:20,Incident,Infection malware — comportement anormal,L'antivirus (Sophos) a bloqué une menace de type Trojan.GenericKD. Des pop-ups apparaissent et le navigateur est redirigé. Poste à isoler du réseau immédiatement.,In Progress,High,"[""PR-LOGI-001"", ""PC-SALL-005"", ""PC-ACCU-002"", ""PC-MAGA-002""]"
150,12/04/2026,15:29,Incident,Clavier — touches mortes aléatoires,"Plusieurs touches (E, R, T, espace) ne répondent plus de façon intermittente. Le clavier fonctionne normalement sur un autre poste. Probable défaillance du contrôleur interne.",In Progress,High,"[""PC-ACCU-003"", ""PC-LOGI-004"", ""PR-MARK-001""]"
151,03/06/2026,17:43,Incident,Perte de connectivité WiFi intermittente,Plusieurs utilisateurs de la salle 301 signalent des coupures WiFi toutes les 15-20 minutes. L'AP Ubiquiti redémarre seul selon les logs. Possible interférence ou surcharge.,Resolved,High,"[""PC-DIRE-002""]"
152,22/04/2026,09:56,Incident,Souris — double-clic non souhaité,La souris génère des doubles clics involontaires sur simple clic. Problème confirmé sur deux postes différents avec la même souris. Micro-switch à remplacer ou échange matériel.,Resolved,High,"[""PC-JURI-001"", ""MN-SALL-004"", ""PC-SALL-001""]"
153,27/05/2026,15:12,Incident,Bourrage papier répété — imprimante Canon,"Bourrages papier fréquents (3 fois par jour) sur le bac 2. Rouleaux d'entraînement probablement usés. Utilisation de papier 80g/m² standard, pas de papier épais.",Pending,Medium,"[""MN-SALL-003""]"
154,11/05/2026,14:48,Incident,Téléphone IP — ne prend pas de ligne,"Le téléphone Cisco 8851 du directeur ne présente aucune ligne enregistrée après un redémarrage. Serveur CUCM à vérifier, extension 1001 potentiellement non provisionnée.",Resolved,High,"[""PC-BIBL-002""]"
155,26/01/2026,13:23,Demande,Renouvellement certificat SSL — serveur web,Le certificat SSL du serveur intranet expire dans 12 jours. Renouvellement à effectuer pour éviter les alertes navigateur. Certbot ou renouvellement manuel à confirmer.,Resolved,High,"[""MOB-LABO-001"", ""PC-LOGI-002"", ""PC-SALL-005""]"
156,05/06/2026,15:25,Incident,VoIP — qualité audio dégradée,Les appels internes présentent des coupures et de l'écho depuis ce matin. Problème signalé sur 3 téléphones IP du secrétariat. QoS à vérifier sur le switch d'accès.,New,Low,"[""PC-SALL-002""]"
157,28/03/2026,14:33,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,In Progress,High,"[""MN-SALL-001"", ""SW-SALL-001""]"
158,24/03/2026,09:25,Incident,Laptop — chargeur qui chauffe anormalement,Le bloc d'alimentation du laptop chauffe fortement (trop chaud pour être tenu en main). Risque d'incendie. Chargeur à remplacer en urgence et poste à ne pas utiliser en attendant.,Resolved,High,"[""PR-LOGI-002"", ""PR-JURI-001"", ""PR-ACCU-002""]"
159,07/05/2026,18:36,Incident,Port USB 3.0 non reconnu,Les périphériques branchés sur le port USB frontal ne sont pas détectés. Les ports arrière fonctionnent. Vérification du connecteur interne de la carte mère à prévoir.,Closed,Low,"[""MN-LABO-001"", ""PH-RH-001"", ""PC-COMP-002""]"
160,18/04/2026,16:19,Demande,Renouvellement certificat SSL — serveur web,Le certificat SSL du serveur intranet expire dans 12 jours. Renouvellement à effectuer pour éviter les alertes navigateur. Certbot ou renouvellement manuel à confirmer.,New,High,"[""PC-DSI-004"", ""SW-DIRE-002"", ""MOB-MARK-002"", ""SW-ADMI-001""]"
161,29/05/2026,10:46,Incident,Surchauffe critique — arrêt automatique,"Le poste s'éteint brutalement après 10-15 minutes d'utilisation. La température CPU atteint 95°C selon HWMonitor. Ventilateur bruyant, probable encrassement.",Pending,High,"[""PR-SALL-001"", ""SW-SALL-003""]"
162,09/04/2026,09:52,Demande,Migration poste — ancien vers nouveau PC,"Le poste PC-ADM-004 est remplacé. Besoin de migration des données utilisateur (profil, favoris, documents) vers le nouveau matériel. À planifier hors heures de bureau.",In Progress,Low,"[""PC-LABO-004""]"
163,06/01/2026,14:20,Incident,Écran — rétroéclairage qui clignote,"Le rétroéclairage scintille de façon aléatoire, environ toutes les 2-3 minutes. Phénomène accentué à froid. Onduleur de l'écran probablement défaillant.",In Progress,High,"[""MN-MARK-002"", ""PR-BIBL-001""]"
164,02/05/2026,18:46,Incident,Surchauffe critique — arrêt automatique,"Le poste s'éteint brutalement après 10-15 minutes d'utilisation. La température CPU atteint 95°C selon HWMonitor. Ventilateur bruyant, probable encrassement.",In Progress,High,"[""PR-ACCU-004"", ""MN-SALL-001""]"
165,04/05/2026,15:24,Incident,Imprimante hors ligne — file d'attente bloquée,L'imprimante du service comptabilité apparaît hors ligne sur tous les postes. La file d'impression est bloquée avec 17 documents en attente. Redémarrage du spooler inefficace.,In Progress,High,"[""PR-ACCU-003"", ""MN-SALL-001"", ""PH-SALL-001""]"
166,10/03/2026,16:30,Incident,Infection malware — comportement anormal,L'antivirus (Sophos) a bloqué une menace de type Trojan.GenericKD. Des pop-ups apparaissent et le navigateur est redirigé. Poste à isoler du réseau immédiatement.,In Progress,Medium,"[""PC-JURI-004"", ""PC-ACCU-011"", ""MOB-JURI-002""]"
167,16/03/2026,18:13,Demande,Ajout RAM — passage de 8 Go à 16 Go,Le responsable DSI demande l'upgrade RAM sur 5 postes du laboratoire IA pour supporter les environnements de développement. Barrettes DDR4 3200MHz à commander.,Closed,Medium,"[""MN-ACCU-002"", ""PR-ACCU-004"", ""PH-SALL-002"", ""PC-BIBL-006""]"
168,16/03/2026,08:36,Demande,Migration poste — ancien vers nouveau PC,"Le poste PC-ADM-004 est remplacé. Besoin de migration des données utilisateur (profil, favoris, documents) vers le nouveau matériel. À planifier hors heures de bureau.",Pending,High,"[""MN-DIRE-001"", ""MOB-JURI-002"", ""PC-SALL-003"", ""PC-SALL-002""]"
169,12/01/2026,11:45,Incident,BSOD MEMORY_MANAGEMENT répété,"Écrans bleus MEMORY_MANAGEMENT survenus 3 fois aujourd'hui. Dump analysé, erreurs sur le slot RAM 2. L'utilisateur ne peut plus travailler.",Resolved,High,"[""MOB-JURI-001"", ""MN-DSI-001"", ""PC-MARK-004""]"
170,22/02/2026,15:17,Demande,Remplacement écran cassé,"Suite à une chute, l'écran du laptop LT-DIR-002 est fissuré et illisible. Remplacement dalle sous garantie à vérifier, sinon devis prestataire externe.",Pending,Critical,"[""PC-SALL-002"", ""PC-DIRE-002"", ""SW-SALL-002""]"
171,01/06/2026,10:15,Incident,Surchauffe critique — arrêt automatique,"Le poste s'éteint brutalement après 10-15 minutes d'utilisation. La température CPU atteint 95°C selon HWMonitor. Ventilateur bruyant, probable encrassement.",Pending,Medium,"[""PC-SALL-001"", ""PC-ACCU-005""]"
172,17/04/2026,12:45,Incident,Perte de connectivité WiFi intermittente,Plusieurs utilisateurs de la salle 301 signalent des coupures WiFi toutes les 15-20 minutes. L'AP Ubiquiti redémarre seul selon les logs. Possible interférence ou surcharge.,New,Critical,"[""PC-DIRE-001"", ""PR-MARK-002""]"
173,11/02/2026,13:41,Demande,Remplacement écran cassé,"Suite à une chute, l'écran du laptop LT-DIR-002 est fissuré et illisible. Remplacement dalle sous garantie à vérifier, sinon devis prestataire externe.",Closed,High,"[""MOB-LABO-001"", ""PC-MAGA-005""]"
174,25/03/2026,11:41,Incident,Surchauffe critique — arrêt automatique,"Le poste s'éteint brutalement après 10-15 minutes d'utilisation. La température CPU atteint 95°C selon HWMonitor. Ventilateur bruyant, probable encrassement.",New,Critical,"[""PR-ACCU-002"", ""PH-DIRE-001""]"
175,11/01/2026,09:26,Demande,Installation imprimante réseau — nouveau service,Le service Juridique vient d'emménager en salle 401. Besoin d'ajout de l'imprimante PR-SALA-001 sur les 4 postes du service et configuration du driver HP.,In Progress,Low,"[""PR-MARK-001"", ""PC-ACCU-007"", ""MOB-JURI-001"", ""PC-SALL-002""]"
176,11/01/2026,07:19,Incident,Batterie laptop — autonomie < 30 min,La batterie du laptop ne tient plus que 25 minutes alors qu'elle était à 3h il y a 6 mois. Cycle count : 842. Remplacement nécessaire — référence à commander.,Pending,Low,"[""PC-LOGI-004"", ""MN-SALL-004"", ""SW-SECR-003""]"
177,21/05/2026,15:31,Demande,Installation imprimante réseau — nouveau service,Le service Juridique vient d'emménager en salle 401. Besoin d'ajout de l'imprimante PR-SALA-001 sur les 4 postes du service et configuration du driver HP.,In Progress,High,"[""PC-LABO-006"", ""PC-LABO-005"", ""PC-COMP-002"", ""MN-LABO-001""]"
178,12/02/2026,18:29,Demande,Installation et configuration de Microsoft 365,"Nouvel arrivant au service Marketing. Besoin d'installation de Microsoft 365 (Word, Excel, Outlook, Teams) et configuration du compte email @itu.mg. Arrivée prévue lundi 09/06.",Resolved,Critical,"[""PC-ADMI-001"", ""PH-COMP-001""]"
179,29/03/2026,11:36,Demande,Migration poste — ancien vers nouveau PC,"Le poste PC-ADM-004 est remplacé. Besoin de migration des données utilisateur (profil, favoris, documents) vers le nouveau matériel. À planifier hors heures de bureau.",In Progress,Medium,"[""MN-SECR-002"", ""PR-ACCU-001"", ""MN-SALL-001"", ""PC-SALL-004""]"
180,14/04/2026,17:06,Incident,Lenteur extrême — CPU à 100%,"Le poste est inutilisable, gestionnaire de tâches indique CPU à 100% en permanence. Processus svchost.exe suspect. Scan antivirus lancé, aucun résultat. Vérifier les services Windows.",In Progress,High,"[""PC-JURI-006"", ""PC-DIRE-001"", ""PC-ACCU-010""]"
181,10/04/2026,10:28,Demande,Création compte Active Directory,Nouveau stagiaire — Andriamanga Rivo — arrive le 10/06 pour 3 mois. Besoin d'un compte AD avec accès aux partages RH et à l'imprimante du service.,Resolved,Medium,"[""SW-JURI-001"", ""PH-LOGI-001"", ""SW-RH-001""]"
182,04/01/2026,11:41,Incident,Bourrage papier répété — imprimante Canon,"Bourrages papier fréquents (3 fois par jour) sur le bac 2. Rouleaux d'entraînement probablement usés. Utilisation de papier 80g/m² standard, pas de papier épais.",In Progress,Low,"[""MN-LABO-002""]"
183,21/03/2026,09:25,Demande,Migration poste — ancien vers nouveau PC,"Le poste PC-ADM-004 est remplacé. Besoin de migration des données utilisateur (profil, favoris, documents) vers le nouveau matériel. À planifier hors heures de bureau.",Pending,Critical,"[""PH-MARK-001"", ""PC-LABO-002"", ""SW-COMP-002""]"
184,18/03/2026,12:39,Incident,Clavier — touches mortes aléatoires,"Plusieurs touches (E, R, T, espace) ne répondent plus de façon intermittente. Le clavier fonctionne normalement sur un autre poste. Probable défaillance du contrôleur interne.",In Progress,Medium,"[""PC-SALL-001"", ""MN-SALL-004"", ""MOB-JURI-001"", ""SW-SALL-001""]"
185,07/04/2026,13:44,Incident,Téléphone IP — ne prend pas de ligne,"Le téléphone Cisco 8851 du directeur ne présente aucune ligne enregistrée après un redémarrage. Serveur CUCM à vérifier, extension 1001 potentiellement non provisionnée.",Closed,High,"[""MOB-MARK-001"", ""PC-JURI-006""]"
186,03/06/2026,08:33,Incident,Switch — port Fa0/12 en erreur,Le port 12 du switch Cisco en salle serveur passe en état err-disabled après quelques secondes. Logs : port-security violation. À investiguer (loop ou adresse MAC inconnue).,Pending,Critical,"[""PC-SALL-003"", ""PR-SALL-002"", ""PC-COMP-002""]"
187,17/01/2026,15:57,Incident,VoIP — qualité audio dégradée,Les appels internes présentent des coupures et de l'écho depuis ce matin. Problème signalé sur 3 téléphones IP du secrétariat. QoS à vérifier sur le switch d'accès.,In Progress,High,"[""PC-DSI-001"", ""MN-SALL-001""]"
188,15/05/2026,14:07,Demande,Migration poste — ancien vers nouveau PC,"Le poste PC-ADM-004 est remplacé. Besoin de migration des données utilisateur (profil, favoris, documents) vers le nouveau matériel. À planifier hors heures de bureau.",In Progress,Critical,"[""PC-MAGA-002"", ""PR-JURI-001"", ""MN-SALL-003"", ""PC-SALL-001""]"
189,28/04/2026,09:32,Incident,Écran — rétroéclairage qui clignote,"Le rétroéclairage scintille de façon aléatoire, environ toutes les 2-3 minutes. Phénomène accentué à froid. Onduleur de l'écran probablement défaillant.",Closed,High,"[""PR-ACCU-004""]"
190,30/04/2026,17:51,Incident,Port USB 3.0 non reconnu,Les périphériques branchés sur le port USB frontal ne sont pas détectés. Les ports arrière fonctionnent. Vérification du connecteur interne de la carte mère à prévoir.,New,High,"[""PC-BIBL-001"", ""MOB-ADMI-001"", ""PC-BIBL-004""]"
